ProductName,Predicted_SubCategory,True_SubCategory
"""distressed slides""",Slides/Slipper,Slides/Slipper
"""Bonobos Men's Slim-Fit Tech Chinos - New Navy """,Chinos,Chinos
"""Men's Peak-Lapel Two-Piece Tuxedo Suit""",Tuxedos,Tuxedos
"""Men's Capsule Mask Heavy Cotton Hoodie Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""x Random Identities Arizona sandals""",Sandals,Sandals
"""Benassi Solarsoft Slide SP pool slides""",Sneakers,Slides/Slipper
"""Husbands Paris Delon Wool-Mohair Trousers""",Active Pants,Pants
"""Alexander Mcqueen - Skull-embellished Navigator Sunglasses - Mens - Gold""",Eyewear,Eyewear
"""Tateossian Men's Bullseye Semi-Precious Cufflinks - Onyx""",Cufflinks,Cufflinks
"""Saint Laurent Transparent SL 337 Glasses""",Eyewear,Eyewear
"""Men's Icecream They Were Cones Graphic Tee""",T-Shirts,T-Shirts
"""Jacquemus Blue Les Lunettes Soleil Sunglasses""",Eyewear,Eyewear
"""Workwear shorts""",Shorts,Shorts
"""Men's Patagonia Logo Trucker Hat - Blue""",Hats,Hats
"""Valentino Go Skull Tee in White""",T-Shirts,T-Shirts
"""Veilance Demlo Nylon Jacket""",Shorts,Jackets
"""Men's Fine Pinstripe Straight Cotton Pants""",Chinos,Chinos
"""camouflage print holdall""",T-Shirts,Bags
"""Christian Louboutin - Loubiphone Rubber Iphone® X/xs Case - Mens - Black Red""",Tech Accessories,Tech Accessories
"""Rick Owens Outershirt in Black""",Active Pants,Overshirts
"""Thorsun - Luna Geometric-print Swim Shorts - Mens - Blue Multi""",Shorts,Shorts
"""Men's x Rhude Contrast-Stripe Track Pants""",Active Pants,Active Pants
"""Dries Van Noten 4cm Black Suede-Trimmed Webbing Belt""",Belts,Belts
"""Phibbs Hibiscus swimming trunks""",Shorts,Shorts
"""Gel-Kinsei-OG Trainers""",Sneakers,Sneakers
"""Saint Laurent Silver Double Chain Necklace""",Cufflinks,Jewelry
"""striped polo shirt""",Polos,Polos
"""The North Face 1996 Retro Nuptse Vest in Red""",Vests,Vests
"""double pocket overshirt""",Overshirts,Overshirts
"""Men's Marked Cherub Pullover Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Illesteva - Murdoch Round Acetate Sunglasses - Mens - Black""",Eyewear,Eyewear
"""Printed Techno Puffer Jacket W/ Hood""",Vests,Jackets
"""Jil Sander Archer Cotton-Canvas Shirt""",Slides/Slipper,Shirts
"""Saint Laurent Black Coated Skinny Jeans""",Denim,Denim
"""Isaia Men's Woven Wool Pocket Square - Blue""",Pocket Squares,Pocket Squares
"""long leather gloves""",Gloves,Gloves
"""Pack Of 3 Stretch Cotton Briefs""",Boxers & Briefs,Boxers & Briefs
"""Cartier Eyewear - C De Cartier Aviator Titanium Sunglasses - Mens - Gold""",Eyewear,Eyewear
"""Cardigan""",Cardigans,Cardigans
"""Men's Ted Baker London Endurance Extra Slim Fit Geometric Dress Shirt""",Shirts,Shirts
"""Emporio Armani Men's M Line Tuxedo Suit - Black """,Tuxedos,Tuxedos
"""Palm Angels Men's Palm Angels x Under Armour Loose Jogging Pants - Melange Grey Black """,Active Pants,Active Pants
"""Y-3 Reversible Cap""",Hats,Hats
"""Maison Margiela Union Retro Fitt in Neutral""",Sneakers,Sneakers
"""Polo Ralph Lauren Men's Straight Fit Linen-Blend Pants - Desert Khaki """,Chinos,Chinos
"""Tom Ford Black Blue Block Bridge Glasses""",Eyewear,Eyewear
"""1017 ALYX 9SM - Trousers""",T-Shirts,Pants
"""AMI Embroidered Cotton T-Shirt""",T-Shirts,T-Shirts
"""Men's Hologram Logo Graphic T-Shirt""",T-Shirts,T-Shirts
"""Translucent Leather Belt Bag""",Bags,Bags
"""Universal Works Pleated Cotton Pants""",T-Shirts,Chinos
"""Ancient Greek Sandals - Hero Leather Flip Flops - Mens - Brown""",Sandals,Sandals
"""18cm V Logo Denim Pants""",Chinos,Denim
"""Frame - L'homme Slim-leg Jeans - Mens - Black""",Denim,Denim
"""Omc Track Pants""",Active Pants,Active Pants
"""Fox swimming shorts""",Shorts,Shorts
"""Canada Goose Men's Northern Utility Glove - Black """,Gloves,Gloves
"""Suicoke ZAVO-vhl Slipper in Black""",Slides/Slipper,Slides/Slipper
"""20mm Gucci Garden Cufflinks""",Cufflinks,Cufflinks
"""Loewe Leather-Trimmed Checked Wool-Blend Overshirt""",T-Shirts,Overshirts
"""Men's Hugo Twist Multifunction Bracelet Watch, 44Mm""",Watches,Watches
"""Iffley Road - Dartmoor Merino Wool Top - Mens - Grey""",Active Pants,T-Shirts
"""Dries Van Noten Off-White and Black Satin Floral Robe""",Robes,Robes
"""Giant Leather \u0026 Mesh Low Top Sneakers""",Sneakers,Sneakers
"""RETROSUPERFUTURE Black Numero 57 Glasses""",Eyewear,Eyewear
"""Men's Velvet Tuxedo Jacket""",Tuxedos,Tuxedos
"""Moncler Genius 5 Moncler Craig Green White T-Shirt""",T-Shirts,T-Shirts
"""Men's Basel 1 Jersey Zip-Front Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Tom Ford Grey Soft Round Glasses""",Eyewear,Eyewear
"""Paul Smith Half Skull Cufflinks""",Cufflinks,Cufflinks
"""Wool Grain De Poudre Tuxedo""",Tuxedos,Tuxedos
"""Burberry - Colour-block Cotton-blend Velour Track Pants - Mens - Beige""",Active Pants,Active Pants
"""Gucci Dive 45mm Stainless Steel Watch""",Watches,Watches
"""Men's Shelton Shawl-Collar Jacket""",Tuxedos,Tuxedos
"""rubber GG slide sandal""",Slides/Slipper,Sandals
"""Kenzo Black Sport Logo Strap Phone Holder""",Bags,Tech Accessories
"""Ann Demeulemeester Black Tucson Derbys""",Derbys,Derbys
"""Grenson - Earl Chunky-sole Suede And Leather Derby Shoes - Mens - Black""",Derbys,Derbys
"""Givenchy - Logo-print Snood - Mens - Black""",Active Pants,Scarves
"""Saint Laurent - Logo-plaque Aviator Metal Sunglasses - Mens - Black""",Eyewear,Eyewear
"""Balenciaga Cosy Leather Logo Slipper""",Slides/Slipper,Slides/Slipper
"""Kiton Men's Mixed Print Silk Pocket Square - Brown""",Pocket Squares,Pocket Squares
"""Men's Nordstrom Men's Shop Spring Sneaker""",Sneakers,Sneakers
"""Calvin Klein Underwear One Micro Boxer Briefs""",Boxers & Briefs,Boxers & Briefs
"""Men's Patagonia P-6 Logo Responsibili-Tee T-Shirt""",T-Shirts,T-Shirts
"""Frescobol Carioca - Sandro Linen-blend Chino Trousers - Mens - White""",Active Pants,Chinos
"""striped tie""",Ties,Ties
"""Techno Gabardine Jogging Pants""",Chinos,Active Pants
"""Men's Logo-Taping Track Pants""",Active Pants,Active Pants
"""Max jeans""",Denim,Denim
"""Moschino Logo iPhone XS Max iPhone Case with Chain""",Tech Accessories,Tech Accessories
"""Multipoint Boonie Nylon Hat""",Hats,Hats
"""Etro - Garment-dyed Knitted Wool Cardigan - Mens - Red""",Cardigans,Cardigans
"""logo patch zipped gilet""",Vests,Vests
"""Paul Smith Black Cotton Stretch Chino Trousers""",Chinos,Chinos
"""Richard James Coral Seishen Slim-Fit Linen Suit Jacket""",Suits,Jackets
"""Nitefox x Helly Hansen trainers""",Sneakers,Sneakers
"""tassel detail loafers""",Loafers,Loafers
"""Rick Owens Drawstring Karloff Boxers in Black""",Active Pants,Shorts
"""Paul Smith Men's Multi-Stripe Robe """,Robes,Robes
"""Burberry - Colour-block Cotton-blend Velour Track Pants - Mens - Beige""",Active Pants,Active Pants
"""Gucci - GG Ophidia Canvas Belt Bag - Mens - Cream Multi""",Bags,Bags
"""Men's Mouse Moon Graphic Print T-Shirt""",T-Shirts,T-Shirts
"""1017 ALYX 9SM Nike Sponge Laser Logo Tee in White""",T-Shirts,T-Shirts
"""Sport Stripe trousers""",Active Pants,Pants
"""Hereu - Priego Suede Derby Shoes - Mens - Black""",Derbys,Derbys
"""Balenciaga - Logo-print Leather Belt Bag - Mens - Black""",Bags,Bags
"""26cm Marine Fit Cotton Denim Shorts""",Denim,Shorts
"""Camo shirt""",Shirts,Shirts
"""Dunhill 3cm Blue And Black Reversible Leather Belt""",Belts,Belts
"""Ksubi Sinister Tee in Black,Stripes""",T-Shirts,T-Shirts
"""Balenciaga - Fire Oval Metal Sunglasses - Mens - Black""",Eyewear,Eyewear
"""Ann Demeulemeester Black Leather Joris Gloves""",Gloves,Gloves
"""Emma Willis - Antique Paisley Wool-jacquard Robe - Mens - Multi""",Robes,Robes
"""Ermenegildo Zegna Men's Regular-Fit Stripe Wool Suit - Navy """,Suits,Suits
"""Acne Studios - Paxton Side-zip Straight-leg Trousers - Mens - Khaki""",Active Pants,Pants
"""Bladder Leather Sneakers""",Sneakers,Sneakers
"""David Beckham Men's 54MM Square Sunglasses - Gold""",Eyewear,Eyewear
"""Versace - Barocco-print Canvas Belt Bag - Mens - Black Gold""",Slides/Slipper,Bags
"""Acne Studios Men's Canada Wool Scarf - Camel Brown""",Gloves,Scarves
"""Slide high-top sneakers""",Sneakers,Sneakers
"""Palm Angels Black and Multicolor Sacred Heart iPhone 11 Pro Case""",Tech Accessories,Tech Accessories
"""Gucci - Web-striped Cable-knit Wool-blend Socks - Mens - White""",Socks,Socks
"""Cotton Canvas Chino Pants""",Chinos,Chinos
"""Orlebar Brown Men's Setter Tape Stripe Swim Trunks - White Baha """,Shorts,Shorts
"""Ghoswift trainers""",Sneakers,Sneakers
"""Ancient Greek Sandals - Hero Leather Flip Flops - Mens - Black""",Sandals,Sandals
"""Off-White Black and White Knit Fence Gloves""",Gloves,Gloves
"""nonnative Dweller Slim-Fit Cotton-Corduroy Trousers""",T-Shirts,Pants
"""Brunello Cucinelli Men's Tile Print Silk Pocket Square - Sand""",Pocket Squares,Pocket Squares
"""Palm Angels - Tie-dyed Cotton-blend Chenille Track Pants - Mens - Black Yellow""",Active Pants,Active Pants
"""Satisfy Black Race Singlet Tank Top""",T-Shirts,T-Shirts
"""Sock Jaw Sneakers""",Sneakers,Sneakers
"""Men's Gancini-Print Pullover Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Men's Fria GG Wool Slippers""",Slides/Slipper,Slides/Slipper
"""Burberry Black ECONYL® Medium Cannon Belt Bag""",Bags,Bags
"""Men's Nite N Day Velvet Slippers""",Slides/Slipper,Slides/Slipper
"""Men's Club Nomade Half-Zip Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Men's The North Face Base Camp Ii Slide Sandal""",Sandals,Slides/Slipper
"""RETROSUPERFUTURE Tortoiseshell Ciccio Glasses""",Eyewear,Eyewear
"""Men's Cut-Up Logo Graphic Pullover Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Commas - Sailboat-print Swim Shorts - Mens - Black Multi""",Shorts,Shorts
"""Men's Glauco Pig Velvet Slippers""",Loafers,Slides/Slipper
"""AMI Tapered Pleated Cotton-Twill Chinos""",Chinos,Chinos
"""buckel belt""",Belts,Belts
"""Robert Graham Men's The Great Place Abstract Print Swim Shorts """,Shorts,Shorts
"""Eton Men's Contemporary-Fit Polo Soft Shirt - Blue """,Polos,Polos
"""Hooded jogging top""",Active Pants,Sweatshirts/Hoodies
"""Men's Kappa 222 Banda Rastoriazz Slim Fit Track Pants""",Active Pants,Active Pants
"""Puma Select x Helly Hansen Trailfox MTS in Black,Orange,White""",Sneakers,Sneakers
"""True Religion Men's Rocco Slim-Fit Moto Jeans - Get The Bag Worn """,Denim,Denim
"""O'keeffe - Samuel Tassel Suede Loafers - Mens - Brown""",Loafers,Loafers
"""round toe loafers""",Loafers,Loafers
"""Valentino Garavani camouflage print slides""",Slides/Slipper,Slides/Slipper
"""classic tuxedo""",T-Shirts,Tuxedos
"""Men's Majestic International Ultra Lux Robe""",Robes,Robes
"""Le Pop Classique print nylon sweatpants""",Active Pants,Active Pants
"""Alexander Mcqueen - Floral-print Burgundy Swim Shorts - Mens - Burgundy""",Shorts,Shorts
"""Wing Print Tech Iphone X/xs Case""",Tech Accessories,Tech Accessories
"""Polo Ralph Lauren - Logo-embroidered Merino-wool Sweater - Mens - Navy""",Polos,Sweaters
"""Paul Smith Bright Stripe iPhone X Case""",Tech Accessories,Tech Accessories
"""Vilebrequin Men's Micro Turtle Print Swim Trunks - Mint """,Shorts,Shorts
"""Ermenegildo Zegna Men's Patterned Silk Pocket Square - Blue""",Pocket Squares,Pocket Squares
"""maple leaf Iphone X cover""",Tech Accessories,Tech Accessories
"""Mophie iPhone juice pack""",Tech Accessories,Tech Accessories
"""Fendi Men's 99MM Logo Fashion Shield Sunglasses""",Eyewear,Eyewear
"""15.5cm Berlin Light Denim Tuxedo Pants""",Active Pants,Tuxedos
"""slogan iPhone X case""",Tech Accessories,Tech Accessories
"""Rick Owens - Mirrored Rectangular Acetate Sunglasses - Mens - Black""",Eyewear,Eyewear
"""Dr. Martens Black Myles HDW Sandals""",Slides/Slipper,Sandals
"""LXCON sneakers""",Sneakers,Sneakers
"""Polo Ralph Lauren Cotton-Twill Baseball Cap""",Polos,Hats
"""Acne Studios Silver and Gold Arin Earring""",Cufflinks,Jewelry
"""RRL Officer Cotton-Twill Straight-Leg Pants""",Chinos,Chinos
"""Gucci Off-White Box Logo Ryhton Sneakers""",Sneakers,Sneakers
"""Blumen long sleeve top""",T-Shirts,T-Shirts
"""John Elliott - Sochi Cotton-jersey Track Pants - Mens - Black""",Active Pants,Active Pants
"""Balenciaga Triple S Clear Sole in Blue,White""",Sneakers,Sneakers
"""Cropped trousers""",Active Pants,Pants
"""Men's Long-Sleeve Polo Shirt""",Polos,Polos
"""printed tie""",T-Shirts,Ties
"""Deakin \u0026 Francis - Dreamcatcher Sapphire \u0026 Sterling-silver Cufflinks - Mens - White""",Cufflinks,Cufflinks
"""3.1 Phillip Lim Men's Allover Print Stretch-Cotton T-Shirt - Black White """,T-Shirts,T-Shirts
"""Noah NYC Navy Alternate Stripes Rugby Polo""",Polos,Polos
"""Hestra Shearling Mittens""",Gloves,Gloves
"""Trekker Jacket""",Jackets,Jackets
"""Paul Smith - Cotton Straight-leg Track Pants - Mens - Black""",Active Pants,Active Pants
"""Zimmerli - 700 Pureness Stretch-jersey Boxer Briefs - Mens - Navy""",Boxers & Briefs,Boxers & Briefs
"""buckle detail slides""",Slides/Slipper,Slides/Slipper
"""Paul Smith - Globe Cufflinks - Mens - Blue Multi""",Cufflinks,Cufflinks
"""25mm Suede Desert Boots""",Sneakers,Boots
"""Ann Demeulemeester - Asymmetric-pocket Cotton Overshirt - Mens - Black""",Overshirts,Overshirts
"""Greyson Men's Angel Tears Polo Shirt - Midnight """,Polos,Polos
"""Deveaux - Tailored Satin-back Sharkskin Suit Trousers - Mens - Grey""",Active Pants,Suits
"""Balenciaga - X-rated Logo-embroidered Cotton Baseball Cap - Mens - Black Multi""",Hats,Hats
"""Gel-cumulus 21 Running Sneakers""",Sneakers,Sneakers
"""Men's Logo Tape Hoodie Sweatshirt""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""P. Le Moult - Striped Cotton-canvas Robe - Mens - Multi""",Robes,Robes
"""Hanro Men's Cotton Superior Boxer Briefs - Black """,Boxers & Briefs,Boxers & Briefs
"""Baseball cap""",Hats,Hats
"""Etro - Floral-print Drawstring Swim Shorts - Mens - Blue Multi""",Shorts,Shorts
"""Orlebar Brown Men's OB-T Photographic T-Shirt - Full Sail Ahead """,T-Shirts,T-Shirts
"""David Yurman Men's Maritime Sterling Silver \u0026 Black Diamond Compass Signet Ring """,Cufflinks,Jewelry
"""Clarks Leather Desert London Oxfords""",Sneakers,Oxfords
"""Dries Van Noten Black Floral Print Scarf""",Tech Accessories,Scarves
"""Men's Icon Typographic T-Shirt""",T-Shirts,T-Shirts
"""Jil Sander - Crossover-strap Leather Sandals - Mens - Black""",Sandals,Sandals
"""Valentino Garavani camouflage print slides""",Slides/Slipper,Slides/Slipper
"""ATM Anthony Thomas Melillo Men's Casual Sweatshorts - Grey """,Shorts,Shorts
"""Men's Rodd \u0026 Gunn Hopelands Regular Fit Floral Short Sleeve Linen Button-Up Shirt""",Shirts,Shirts
"""Top with patches""",T-Shirts,Sweatshirts/Hoodies
"""Men's Jared Lang Slim Fit Button-Up Knit Sport Shirt""",Shirts,Shirts
"""Casablanca Green Knit Polo""",Polos,Polos
"""A.P.C. White Run Around Sneakers""",Sneakers,Sneakers
"""Men's Striped-Armband T-Shirt""",T-Shirts,T-Shirts
"""Y-3 Yohji Yamamoto Color Block Shell Track Pant in Blue,Red,Black""",Active Pants,Active Pants
"""John Varvatos Star U.S.A. Men's Jackson Button-Up T-Shirt - Indigo """,T-Shirts,T-Shirts
"""Valentino - Astronaut-print Swim Shorts - Mens - Navy Multi""",Shorts,Shorts
"""Helmut Lang Men's Satin Warm-Up Shorts - Bronze """,Shorts,Shorts
"""Vince Men's Howell Shearling-Lined Wool Slippers - Charcoal """,Slides/Slipper,Slides/Slipper
"""ByBorre Textured Cotton Track Pants""",Sneakers,Active Pants
"""Men's Billy Reid Trim Fit Stripe Polo Shirt""",Polos,Polos
"""Valentino - Vltn-logo Leather Slides - Mens - Black""",Slides/Slipper,Sandals
"""Palm Angels - Tie-dyed Velour Track Top - Mens - Black Purple""",Active Pants,Sweatshirts/Hoodies
"""logo embroidered cap""",T-Shirts,Hats
"""Canali Men's Flower Wool Silk Pocket Square - Red""",Pocket Squares,Pocket Squares
"""Crazy trainers""",Sneakers,Sneakers
"""Jan-Jan Van Essche Black Washi Jersey Tank Top""",T-Shirts,T-Shirts
"""penny slip-on loafers""",Loafers,Loafers
"""Medusa head iPhone XS Max case""",Tech Accessories,Tech Accessories
"""Orlebar Brown Men's Standard Swim Shorts - Navy """,Shorts,Shorts
"""Canali Men's Classic Wool Suit - Blue """,Suits,Suits
"""Off-white - Belted Cotton-twill Chino Trousers - Mens - Black""",Pants,Chinos
"""Anthos Polished Leather Zipped Boots""",Boots,Boots
"""Kiton Men's Paisley Silk Pocket Square - Light Brown""",Pocket Squares,Pocket Squares
"""Hooded Techno Padded Poncho""",Sweatshirts/Hoodies,Coats
"""Men's Teva Voya Flip Flop""",Sandals,Sandals
"""Balenciaga Black Croc Strike Derbys""",Derbys,Derbys
"""ribbed gloves""",Gloves,Gloves
"""Dries Van Noten Burgundy Floral Tank Top""",T-Shirts,T-Shirts
"""C.P. Company - Goggle-lens Cotton-jersey Track Shorts - Mens - Black""",Active Pants,Shorts
"""Thorsun - Mermaid-print Swim Shorts - Mens - Multi""",Shorts,Shorts
"""Vince Men's Gino Shearling Lined Suede \u0026 Leather Loafer Slippers - Black """,Slides/Slipper,Slides/Slipper
"""Moncler Red Maglia Boxer Polo""",Polos,Polos
"""Fedeli Madeira Printed Swim Shorts""",Shorts,Shorts
"""Our Legacy Oversized Waffle-Knit Merino Wool And Mohair-Blend Overshirt""",Overshirts,Overshirts
"""Men's Timex X Todd Snyder The Military Nato Strap Watch, 40Mm""",Watches,Watches
"""Logo Nylon Swim Shorts""",Active Pants,Shorts
"""Men's Majestic International Fresh Ink Stripe Silk Robe""",Robes,Robes
"""Printed jogging bottoms""",Active Pants,Active Pants
"""Carrera Men's 62MM Shield Sunglasses - Black""",Eyewear,Eyewear
"""Men's Logo-Embossed Suede Belt""",Belts,Belts
"""Julius White Rib Knit Tank Top""",T-Shirts,T-Shirts
"""Plain swim shorts""",Shorts,Shorts
"""Vintage Effect Leather Belt Pack""",Bags,Bags
"""Double Fox polo shirt""",T-Shirts,Polos
"""Native Union Clic Canvas iPhone 11 Case""",Tech Accessories,Tech Accessories
"""Stefano coat""",Sneakers,Coats
"""Transparent Tech Iphone X/xs Case""",Tech Accessories,Tech Accessories
"""Orlebar Brown - Sebastian Tailored-fit Slubbed-linen Polo Shirt - Mens - Navy""",Polos,Polos
"""Men's Daniel Buchler Heather Jacquard Robe""",Robes,Robes
"""SEASE Dinghy Ribbed Cashmere Rollneck Sweater""",Sweaters,Sweaters
"""iPhone XR graphic print case""",Tech Accessories,Tech Accessories
"""Check Cotton Blend Sonny Belt Bag""",Bags,Bags
"""Vilebrequin Men's Moorea Bateaux Swim Trunks - Lagoon """,Shorts,Shorts
"""Air Force 1 '07 Prm 1ho19 Sneakers""",Sneakers,Sneakers
"""Sun Buddies - Elton Acetate Cat-eye Sunglasses - Mens - Clear""",Eyewear,Eyewear
"""Fila Knit Visor with Velcro Closure""",Hats,Hats
"""Neil Barrett - Zipped-pocket Denim Jacket - Mens - Black""",Overshirts,Jackets
"""1952 - Cardigan""",Sneakers,Cardigans
"""Men's Vans Era 59 Sneaker""",Sneakers,Sneakers
"""Men's Tcg Bomber Jacket Sneaker, Size 9US / 42EU - Green""",Sneakers,Sneakers
"""Saks Fifth Avenue Men's COLLECTION Platform Cuff Links - Rose Gold""",Cufflinks,Cufflinks
"""RETROSUPERFUTURE Black Numero 57 Glasses""",Eyewear,Eyewear
"""Cartoon t-shirt""",T-Shirts,T-Shirts
"""Track Pants""",Active Pants,Active Pants
"""Men's Champion Utility Rucksack""",Shirts,Bags
"""Givenchy - Jaw Contrast-panel Leather Sandals - Mens - Black""",Slides/Slipper,Sandals
"""Mankind Socks""",Socks,Socks
"""Givenchy Black and Blue Collar Phone Case""",Tech Accessories,Tech Accessories
"""Dior Homme Black DiorFraction3""",Eyewear,Eyewear
"""Men's Tonal Medusa Graphic T-Shirt""",T-Shirts,T-Shirts
"""Gucci Green Ring Vest""",Vests,Vests
"""Burberry Men's Vintage Check Phone Case Lanyard - Archieve Beige""",Bags,Tech Accessories
"""Thom Browne Navy Merino Aran Cable Cardigan""",Cardigans,Cardigans
"""40mm Leather Belt""",Belts,Belts
"""Tod's Men's Pantofola Smooth Leather Loafers - Dark Brown """,Loafers,Loafers
"""Burberry Men's Martin Check Swim Trunks - Melon """,Shorts,Shorts
"""Web stripe tapered trousers""",Active Pants,Pants
"""Men's Saffiano Leather Belt""",Belts,Belts
"""Men's Hawaiian-Print Crewneck T-Shirt""",T-Shirts,T-Shirts
"""Tropical Natural Virgin Wool Travel Suit""",Suits,Suits
"""Polo Ralph Lauren Men's Color-Blocked Rugby Hoodie - Green Multi """,Polos,Sweatshirts/Hoodies
"""Commas - Splodge-print Swim Shorts - Mens - Black Orange""",Shorts,Shorts
"""embossed logo slides""",Slides/Slipper,Slides/Slipper
"""classic cut puppytooth-check tie""",Ties,Ties
"""Men's Aki Japanese Stripe Overshirt""",Overshirts,Overshirts
"""Burberry - Marshall Logo-embroidered Cotton Track Pants - Mens - Navy""",Active Pants,Active Pants
"""Jogging Wool Blend Gabardine Pants""",Active Pants,Active Pants
"""slim-fit chino shorts""",Chinos,Shorts
"""Orlebar Brown Men's Bulldog Amalfi Stripe Swim Trunks - Navy Blush Sunflower """,Shorts,Shorts
"""Sailor watch""",Watches,Watches
"""Cotton shirt""",Shirts,Shirts
"""Reigning Champ Midweight Terry Robe""",Robes,Robes
"""Ami - Fringed Leather Moccasins - Mens - Black""",Boots,Socks
"""Etro - Camel-print Drawstring Swim Shorts - Mens - Khaki Multi""",Shorts,Shorts
"""White Sand - Elasticated-waist Cotton-blend Cargo Trousers - Mens - Black""",Active Pants,Pants
"""Matsuda Eyewear Round-Frame Acetate and Gold-Tone Sunglasses""",Eyewear,Eyewear
"""Stone Island Black Zippered Overshirt""",Overshirts,Overshirts
"""Logo Rubber Slide Sandals""",Slides/Slipper,Sandals
"""Versace Underwear Black Signature Print Boxers""",Boxers & Briefs,Boxers & Briefs
"""Off-White Bart Simpson Printed Cotton-Jersey T-Shirt""",T-Shirts,T-Shirts
"""Balenciaga - Cash Logo-print Leather Iphone® X \u0026 Xs Case - Mens - Black White""",Tech Accessories,Tech Accessories
"""BARTON PERREIRA Doyen Aviator-Style Titanium Sunglasses""",Eyewear,Eyewear
"""Off-White Men's Arrows Pattern Swim Bermuda Shorts - Allover Grey """,Shorts,Shorts
"""Schnayderman's Overshirt Textured Wool""",Jackets,Overshirts
"""Brunello Cucinelli - Tile-print Silk-faille Pocket Square - Mens - Navy""",Pocket Squares,Pocket Squares
"""Camp Collar Overshirt""",Overshirts,Overshirts
"""Paul Smith Black Coyle Derbys""",Derbys,Derbys
"""Gucci Men's Gucci x Disney Stonewash Ankle Jeans - Blue """,Active Pants,Denim
"""Washed Cotton Jersey Sweatpants""",Vests,Active Pants
"""Men's Satin-Lapel Tuxedo Suit""",Tuxedos,Tuxedos
"""Cotton t-shirt""",Shirts,T-Shirts
"""Isaia Men's Regular-Fit Pinstripe Wool Suit - Navy """,Suits,Suits
"""Ferragamo Metal Sunglasses W/ Leather""",Eyewear,Eyewear
"""Ambush - Bleached Cotton Track Pants - Mens - Green""",Active Pants,Active Pants
"""Men's Heavy Cotton Poplin Trousers""",Chinos,Pants
"""Brunello Cucinelli Men's Floral Medallion Pocket Square - Light Grey""",Pocket Squares,Pocket Squares
"""Workwear Cotton Sweatshirt Hoodie""",Sweatshirts/Hoodies,Sweatshirts/Hoodies
"""Logo Tech Slide Sandals""",Slides/Slipper,Slides/Slipper
"""Brunello Cucinelli - Suede Lace-up Boots - Mens - Brown""",Boots,Boots
